  Year,January,February,March,April,May,June,July,August,September,October,November,December
1876,-0.195,-0.065,-0.081,-0.06,-0.061,0.005,0.125,0.185,0.159,-0.044,-0.071,-0.007
1877,0.017,0.168,0.252,0.157,0.266,0.335,0.312,0.375,0.275,0.244,0.313,0.331
1878,0.253,0.346,0.356,0.655,0.536,0.639,0.432,0.599,0.56,0.33,0.384,0.482
1879,0.335,0.39,0.031,0.049,0.257,0.187,0.096,0.027,-0.011,0.073,0.08,0.13
1880,0.088,0.015,0.101,-0.026,-0.128,0,0.129,0.113,0.266,0.241,0.159,-0.073
1881,0.18,0.135,0.202,0.232,0.126,0.132,0.019,0.057,-0.011,-0.058,-0.294,-0.083
1882,-0.119,-0.086,-0.021,-0.116,-0.119,0.011,0.073,0.081,0.054,-0.003,0.027,0.03
1883,-0.035,-0.151,-0.14,0.041,0.047,-0.016,-0.031,0.032,-0.078,-0.099,0.007,0.148
1884,0.047,-0.128,-0.095,-0.048,-0.033,0.152,-0.015,0.007,-0.135,-0.129,-0.324,-0.098
1885,-0.05,0.062,-0.017,-0.233,-0.148,-0.114,-0.007,0.132,0.053,0.051,0.03,0.052
1886,0.15,0.146,0.202,0.226,0.253,0.222,0.265,0.083,0.021,0.001,0.006,0
1887,-0.079,-0.067,-0.003,-0.045,0.065,0.24,0.359,0.225,0.178,0.262,0.206,0.208
1888,0.26,0.197,0.281,0.149,0.156,0.279,0.214,0.173,0.176,0.282,0.155,0.106
1889,0.263,0.271,0.345,0.326,0.327,0.239,0.089,0.109,0.117,0.116,0.19,0.064
1890,0.044,0.028,-0.026,-0.141,-0.134,-0.089,-0.242,-0.287,-0.246,-0.069,-0.258,-0.235
1891,-0.262,-0.072,0.088,0.124,0.192,0.178,0.256,0.114,0.022,0.039,-0.224,0.033
1892,0.076,0.137,0.11,0.018,-0.115,-0.133,-0.238,-0.092,-0.2,-0.168,-0.263,-0.164
1893,-0.089,-0.041,-0.029,-0.141,-0.122,0.139,0.192,0.176,0.064,-0.046,0.037,-0.143
1894,-0.135,-0.153,-0.172,-0.269,-0.344,-0.31,-0.213,-0.223,-0.212,-0.322,-0.299,-0.214
1895,-0.102,-0.07,-0.249,-0.277,-0.193,-0.093,-0.059,-0.081,0.088,0.086,-0.095,-0.036
1896,-0.053,0.046,-0.027,0.061,0.27,0.202,0.114,0.093,0.326,0.171,0.057,0.067
1897,0.091,0.143,0.315,0.258,0.173,0.109,0.107,0.029,0.057,0.086,-0.003,-0.002
1898,-0.006,0.068,0.117,0.071,0.1,0.219,0.227,0.149,0.115,-0.018,-0.12,0.01
1899,-0.056,-0.042,0.001,0.095,0.212,0.197,0.121,0.279,0.139,0.101,0.21,0.309
1900,0.218,0.213,0.072,0.175,0.008,0.011,0.103,0.01,0.06,0.127,0.055,0.147
1901,0.059,0.197,0.17,0.162,0.092,0.229,0.195,0.193,0.013,-0.097,-0.069,-0.055
1902,-0.106,-0.022,-0.014,-0.139,-0.081,-0.242,-0.281,-0.162,0.009,0.026,-0.107,-0.076
1903,-0.032,0.062,-0.049,-0.06,-0.135,-0.167,-0.155,-0.436,-0.447,-0.358,-0.23,-0.284
1904,-0.344,-0.365,-0.371,-0.415,-0.39,-0.422,-0.33,-0.341,-0.471,-0.363,-0.192,-0.147
1905,-0.218,-0.176,-0.353,-0.166,-0.056,-0.166,-0.048,-0.136,-0.35,-0.246,-0.262,-0.239
1906,-0.066,-0.027,-0.047,-0.039,-0.154,0.013,-0.002,-0.059,-0.115,-0.136,-0.013,-0.22
1907,-0.181,-0.344,-0.25,-0.157,-0.144,-0.25,-0.277,-0.311,-0.174,-0.216,-0.223,-0.187
1908,-0.228,-0.229,-0.237,-0.205,-0.16,-0.06,0.028,0.011,-0.085,-0.118,-0.151,-0.118
1909,-0.102,-0.14,-0.099,-0.146,-0.004,-0.126,-0.164,-0.08,-0.112,-0.148,-0.289,-0.231
1910,-0.305,-0.249,-0.258,-0.308,-0.339,-0.359,-0.287,-0.257,-0.104,-0.188,-0.076,-0.24
1911,-0.251,-0.251,-0.306,-0.318,-0.342,-0.237,-0.166,-0.064,-0.117,-0.112,-0.229,-0.171
1912,-0.235,-0.259,-0.217,-0.167,-0.114,-0.149,-0.256,-0.394,-0.244,-0.249,-0.222,-0.234
1913,-0.306,-0.211,-0.224,-0.44,-0.448,-0.566,-0.438,-0.434,-0.428,-0.382,-0.456,-0.327
1914,-0.223,-0.319,-0.406,-0.384,-0.263,-0.377,-0.432,-0.371,-0.189,-0.114,-0.185,-0.228
1915,-0.129,-0.117,-0.004,0.051,0.261,0.293,0.317,0.211,0.196,0.028,-0.007,0.01
1916,-0.04,-0.1,-0.094,-0.119,0.019,0.028,-0.076,-0.018,-0.005,-0.076,-0.241,-0.209
1917,-0.295,-0.351,-0.403,-0.307,-0.255,-0.153,-0.21,-0.193,-0.283,-0.342,-0.321,-0.26
1918,-0.102,-0.176,-0.119,-0.18,-0.24,-0.421,-0.368,-0.392,-0.366,-0.259,-0.301,-0.225
1919,-0.228,-0.06,-0.194,-0.057,-0.166,-0.224,-0.284,-0.192,-0.193,-0.144,-0.229,-0.292
1920,-0.463,-0.405,-0.453,-0.336,-0.254,-0.283,-0.277,-0.304,-0.277,-0.269,-0.429,-0.304
1921,-0.292,-0.275,-0.319,-0.265,-0.252,-0.249,-0.11,-0.248,-0.227,-0.056,-0.264,-0.122
1922,-0.207,-0.243,-0.342,-0.412,-0.319,-0.333,-0.378,-0.31,-0.369,-0.288,-0.353,-0.326
1923,-0.365,-0.462,-0.406,-0.431,-0.283,-0.316,-0.323,-0.427,-0.371,-0.266,-0.217,-0.063
1924,-0.133,-0.201,-0.106,-0.059,0.043,-0.099,-0.128,-0.14,-0.206,-0.238,-0.318,-0.29
1925,-0.328,-0.313,-0.241,-0.182,-0.08,-0.192,-0.147,-0.134,-0.122,-0.09,-0.175,0.043
1926,0.031,0.104,0.044,0.106,0.122,0.065,0.137,0.049,0.038,0.173,0.023,0.086
1927,0.077,0.073,0.036,0.064,0.188,0.15,0.151,0.153,0.101,0.169,0.133,-0.028
1928,-0.05,-0.099,-0.098,-0.103,0.013,0.062,0.082,0.098,0.084,0.037,-0.056,-0.095
1929,-0.092,-0.104,-0.094,-0.02,-0.114,-0.196,-0.184,-0.159,-0.069,-0.058,-0.118,-0.19
1930,-0.128,-0.179,-0.099,-0.214,-0.115,-0.085,0.056,0.065,0.283,0.197,0.149,0.138
1931,0.11,0.062,0.143,0.146,0.22,0.264,0.19,0.147,0.26,0.315,0.054,0.167
1932,0.172,0.226,0.243,0.207,0.15,0.24,0.266,0.382,0.332,0.234,0.132,0.091
1933,0.084,0.152,0.086,0.206,0.287,0.239,0.275,0.277,0.238,0.326,0.075,-0.003
1934,-0.116,-0.194,-0.216,-0.098,-0.117,0.029,0.166,0.075,0.137,0.165,0.012,-0.01
1935,0.037,-0.14,-0.155,0.049,0.136,0.104,0.057,0,-0.042,-0.024,0.015,0.095
1936,0.132,0.14,0.188,0.191,0.162,0.187,0.189,0.208,0.168,0.098,0.014,0.042
1937,0.049,0.08,0.092,0.063,0.125,0.444,0.605,0.585,0.501,0.291,0.25,0.347
1938,0.205,0.145,0.193,0.231,0.197,0.161,0.198,0.292,0.302,0.348,0.312,0.212
1939,0.128,0.072,-0.038,0.088,0.099,0.17,0.319,0.316,0.293,0.003,-0.159,-0.086
1940,0.055,-0.2,-0.151,-0.039,-0.005,0.007,0.09,0.099,0.018,-0.056,-0.139,-0.145
1941,-0.069,0.088,0.125,0.058,0.03,-0.026,0.081,0.272,0.298,0.409,0.386,0.32
1942,0.128,0.192,0.186,0.198,0.202,0.253,0.094,0.139,0.217,0.196,0.19,0.085
1943,0.123,0.09,-0.109,-0.143,-0.13,-0.083,0.01,0.009,0.07,0.073,0.137,0.221
1944,0.294,0.311,0.416,0.308,0.286,0.341,0.355,0.437,0.411,0.36,0.266,0.268
1945,0.254,0.343,0.359,0.405,0.304,0.168,0.078,0.101,0.079,0.097,0.179,0.132
1946,0.271,0.185,0.126,0.056,0.084,-0.106,-0.21,-0.17,-0.023,-0.021,-0.07,-0.04
1947,-0.179,-0.133,-0.097,-0.102,-0.16,-0.158,-0.162,-0.105,-0.056,-0.095,0.041,0.028
1948,-0.021,-0.033,0.022,-0.076,-0.01,0.049,-0.045,-0.028,-0.058,0.002,0.129,0.057
1949,0.147,0.154,0.033,0.093,-0.03,-0.005,0.066,0.096,0.064,0.098,0.102,0.112
1950,0.105,-0.039,-0.111,-0.136,-0.064,-0.048,-0.061,0.014,0.004,-0.096,0.074,0.082
1951,0.097,-0.008,0.006,0.163,0.167,0.283,0.416,0.297,0.243,0.253,0.169,0.169
1952,0.166,0.176,0.224,0.185,0.174,0.377,0.366,0.397,0.355,0.348,0.244,0.334
1953,0.259,0.179,0.135,0.307,0.336,0.269,0.337,0.252,0.273,0.141,0.238,0.251
1954,0.22,0.089,0.094,-0.02,0.063,0.092,-0.052,-0.021,-0.018,-0.039,-0.034,-0.058
1955,0.069,0.033,0.034,0.088,0.169,0.186,0.261,0.168,0.196,0.272,0.379,0.249
1956,0.179,0.087,0.006,0.056,-0.065,-0.272,-0.097,-0.106,-0.096,-0.05,-0.094,0.011
1957,-0.088,-0.114,-0.027,-0.081,-0.129,-0.02,0.032,0.194,0.213,0.142,0.076,0.071
1958,0.041,0.181,0.336,0.338,0.193,0.213,0.156,0.153,0.204,0.144,0.177,0.211
1959,0.092,0.106,-0.035,-0.012,-0.001,-0.068,-0.04,0.004,0.117,0.104,0.042,0.101
1960,0.168,0.208,0.08,0.088,0.294,0.31,0.262,0.326,0.202,0.287,0.241,0.129
1961,0.051,0.072,0.139,0.218,0.184,0.023,-0.028,0.027,-0.006,0.02,0.058,0.204
1962,0.14,0.142,0.156,0.078,0.013,-0.081,-0.017,-0.073,-0.005,0.056,0.037,0.18
1963,0.147,0.156,0.124,0.094,-0.095,-0.057,-0.046,-0.083,-0.212,-0.082,-0.067,-0.07
1964,-0.085,0.011,0.029,-0.156,0.03,-0.006,-0.154,-0.244,-0.23,-0.282,-0.176,-0.131
1965,-0.209,-0.187,-0.088,-0.107,-0.109,-0.137,-0.199,-0.221,-0.232,-0.258,-0.287,-0.134
1966,-0.087,-0.001,-0.021,0.033,-0.01,-0.056,-0.067,-0.054,-0.011,0.002,-0.008,0.069
1967,0.07,0.077,-0.045,-0.026,-0.198,-0.272,-0.242,-0.176,-0.108,-0.111,-0.246,-0.164
1968,-0.258,-0.21,-0.22,-0.167,-0.135,-0.274,-0.241,-0.225,-0.162,-0.125,-0.12,-0.139
1969,-0.075,0.093,0.195,0.137,-0.001,0.016,0.082,-0.113,-0.119,-0.197,-0.136,-0.044
1970,-0.022,-0.061,0.007,0.008,-0.059,-0.195,-0.212,-0.153,-0.15,-0.208,-0.253,-0.222
1971,-0.258,-0.304,-0.322,-0.425,-0.339,-0.375,-0.362,-0.448,-0.378,-0.247,-0.255,-0.321
1972,-0.33,-0.392,-0.451,-0.338,-0.481,-0.5,-0.387,-0.395,-0.315,-0.299,-0.289,-0.363
1973,-0.386,-0.405,-0.356,-0.277,-0.181,-0.187,-0.116,-0.145,-0.143,-0.228,-0.221,-0.25
1974,-0.288,-0.296,-0.413,-0.535,-0.512,-0.459,-0.527,-0.48,-0.518,-0.52,-0.438,-0.373
1975,-0.285,-0.351,-0.322,-0.357,-0.4,-0.307,-0.284,-0.197,-0.348,-0.366,-0.353,-0.334
1976,-0.397,-0.453,-0.506,-0.438,-0.5,-0.496,-0.319,-0.197,-0.205,-0.305,-0.428,-0.444
1977,-0.401,-0.345,-0.195,-0.229,-0.182,-0.119,-0.118,-0.157,-0.244,-0.236,-0.155,-0.217
1978,-0.118,-0.159,-0.17,-0.207,-0.216,-0.345,-0.288,-0.239,-0.202,-0.219,-0.131,-0.195
1979,-0.204,-0.163,-0.24,-0.249,-0.129,-0.054,-0.106,-0.127,-0.121,-0.099,-0.097,-0.071
1980,-0.013,-0.09,-0.15,-0.012,0.118,0.097,0.039,0.012,-0.019,-0.073,-0.208,-0.261
1981,-0.188,-0.187,-0.006,-0.102,-0.091,-0.069,-0.101,-0.122,-0.043,-0.194,-0.144,-0.013
1982,-0.088,-0.085,-0.087,-0.189,-0.198,-0.191,-0.236,-0.316,-0.315,-0.378,-0.424,-0.387
1983,-0.305,-0.111,0.074,0.052,-0.055,-0.061,-0.022,-0.165,-0.223,-0.203,-0.165,-0.01
1984,-0.114,-0.095,-0.132,-0.164,-0.173,-0.332,-0.273,-0.233,-0.216,-0.351,-0.432,-0.325
1985,-0.362,-0.337,-0.364,-0.408,-0.345,-0.135,-0.16,-0.289,-0.255,-0.253,-0.303,-0.344
1986,-0.351,-0.283,-0.3,-0.332,-0.236,-0.269,-0.257,-0.28,-0.228,-0.326,-0.405,-0.379
1987,-0.286,-0.226,-0.041,0.021,0.06,0.195,0.271,0.271,0.186,0.038,-0.078,0.035
1988,-0.05,-0.125,-0.02,0.041,0.127,0.155,0.099,-0.019,-0.107,-0.182,-0.159,-0.176
1989,-0.233,-0.168,-0.265,-0.301,-0.159,0.079,0.165,0.101,-0.107,-0.135,-0.162,-0.165
1990,-0.311,-0.174,-0.191,-0.13,-0.071,-0.069,-0.034,0.04,0.134,0.1,-0.066,-0.049
1991,-0.208,-0.13,-0.082,-0.146,-0.167,-0.143,-0.121,-0.122,-0.051,-0.276,-0.275,-0.228
1992,-0.204,-0.108,-0.107,-0.198,-0.236,-0.165,-0.234,-0.395,-0.384,-0.315,-0.349,-0.299
1993,-0.255,-0.201,-0.259,-0.188,-0.179,-0.196,-0.292,-0.244,-0.18,-0.258,-0.334,-0.309
1994,-0.312,-0.325,-0.295,-0.216,-0.223,-0.238,-0.247,-0.251,-0.168,-0.075,-0.035,-0.107
1995,-0.079,-0.056,0,0.059,0.255,0.347,0.297,0.166,0.037,0.085,0.11,0.025
1996,-0.027,-0.049,-0.074,-0.007,-0.082,-0.14,-0.122,-0.025,-0.019,-0.162,-0.191,-0.172
1997,-0.108,-0.053,-0.012,-0.01,0.023,-0.009,0.043,-0.002,0.092,0.133,0.034,0.114
1998,0.113,0.274,0.304,0.274,0.366,0.472,0.47,0.495,0.395,0.364,0.3,0.262
1999,0.033,0.04,0.051,0.034,0.145,0.162,0.18,0.289,0.167,-0.001,-0.066,-0.003
2000,-0.101,-0.056,0.086,0.024,0.087,-0.036,0.054,0.085,0.084,-0.058,-0.071,-0.145
2001,-0.145,-0.045,-0.003,-0.03,-0.027,0.18,0.117,0.16,0.268,0.233,0.138,0.195
2002,0.163,0.147,0.127,0.009,-0.066,-0.135,-0.084,0.088,0.061,0.093,0.001,-0.014
2003,0.032,-0.031,0.094,0.061,0.133,0.187,0.258,0.397,0.433,0.408,0.205,0.206
2004,0.192,0.191,0.139,0.09,-0.013,0.159,0.209,0.298,0.222,0.224,0.202,0.169
2005,0.092,0.107,0.266,0.273,0.275,0.308,0.428,0.421,0.4,0.219,0.121,0.197
2006,0.105,0.056,0.041,0.179,0.29,0.314,0.356,0.382,0.345,0.315,0.27,0.152
2007,0.152,0.198,0.108,0.14,0.093,0.069,0.11,0.036,0.079,0.139,0.157,0.092
2008,0.011,0.109,0.14,0.024,0.153,0.237,0.187,0.156,0.179,0.083,-0.018,-0.001
2009,-0.078,-0.183,-0.179,-0.15,-0.081,0.102,0.209,0.133,0.038,0.145,0.05,0.063
2010,0.02,0.158,0.268,0.406,0.44,0.428,0.431,0.506,0.43,0.304,0.216,0.188
2011,0.124,0.088,0.036,0.072,0.132,0.159,0.072,0.127,0.125,0.043,-0.09,-0.064
2012,-0.085,-0.016,0.006,0.06,0.144,0.28,0.355,0.411,0.428,0.309,0.145,0.121
2013,0.108,0.095,0.138,0.116,0.081,0.026,0.17,0.174,0.235,0.327,0.108,0.016
2014,-0.082,-0.063,-0.101,-0.114,-0.022,0.042,0.201,0.314,0.29,0.272,0.044,0.038
2015,-0.029,-0.024,-0.15,-0.092,0.024,0.008,0.111,0.157,0.279,0.304,0.166,0.208
2016,0.21,0.135,0.167,0.156,0.323,0.388,0.411,0.436,0.437,0.359,0.369,0.314
2017,0.204,0.206,0.146,0.262,0.293,0.287,0.281,0.289,0.329,0.412,0.331,0.343
2018,0.152,0.041,0.111,0.042,-0.022,-0.032,-0.004,0.091,0.141,0.122,-0.142,-0.081
2019,-0.036,0.059,0.1,0.102,0.066,0.152,0.331,0.317,0.224,0.137,0.089,0.143
2020,0.074,0.335,0.347,0.348,0.245,0.251,0.342,0.427,0.298,0.29,0.114,0.164
2021,0.128,0.14,0.114,0.056,0.073,0.14,0.211,0.246,0.403,0.476,0.447,0.254
2022,0.178,0.134,0.01,0.112,0.198,0.2,0.137,0.359,0.663,0.484,-99.99,-99.99
